company,pct,company,pct,company,pct,company
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,25.52,和县睛明眼科医院有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,25.52,临海睛明眼科医院有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,25.52,三门睛明眼科医院有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,17.23,海门睛明眼科医院有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,25.52,丰县睛明眼科医院有限责任公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,25.52,兴化市睛明养老院有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,25.52,贵溪睛明医院有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,17.86,玉环睛明眼科医院有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,25.52,睢宁县睛明眼科医院有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,25.52,泰州市姜堰睛明养老院有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,25.52,泰州市姜堰睛明医院有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,25.52,丹阳睛明眼科医院有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,25.52,丹阳睛明养老院有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,25.52,合浦睛明眼科医院有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,25.52,灌云睛明眼科医院有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,25.52,库尔勒睛明眼科医院有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,25.52,博乐睛明眼科医院有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,25.26,乐清睛明医院有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,25.52,儋州晴明眼科医院有限责任公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,25.52,平阳睛明眼科医院有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,25.52,莒县睛明眼科医院有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,25.52,新泰市睛明眼科医院有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,25.52,南通青皮树视光科技有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,32,苏州千里眼医疗科技有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,32,苏州易通捷达信息技术有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,20,苏州市千苏创业投资合伙企业（有限合伙）,25.52,邳州睛明眼科医院有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,5.1,睢宁县睛明眼科医院有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,5.1,泰州市姜堰睛明医院有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,5.1,丹阳睛明眼科医院有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,5.1,丹阳睛明养老院有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,5.1,合浦睛明眼科医院有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,14.34,苏州高美云景创业投资合伙企业（有限合伙）,10.94,苏州吉视电子科技有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,14.34,苏州高美云景创业投资合伙企业（有限合伙）,10.94,苏州巨佳电子科技有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,14.34,苏州高美云景创业投资合伙企业（有限合伙）,10.27,杭州语忆科技有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,14.34,苏州高美云景创业投资合伙企业（有限合伙）,7.6,创络（上海）数据科技有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,14.34,苏州高美云景创业投资合伙企业（有限合伙）,8.26,西安易协网络有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,14.34,苏州高美云景创业投资合伙企业（有限合伙）,11.11,广州智建云信息技术有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,14.34,苏州高美云景创业投资合伙企业（有限合伙）,13.79,上海远眸软件有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,14.34,苏州高美云景创业投资合伙企业（有限合伙）,10.65,杭州达势科技有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,14.34,苏州高美云景创业投资合伙企业（有限合伙）,13.33,飞驰云联（南京）科技有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,14.34,苏州高美云景创业投资合伙企业（有限合伙）,11.11,苏州智建云信息技术有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,14.34,苏州高美云景创业投资合伙企业（有限合伙）,8.26,杭州云湖科技有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,14.34,苏州高美云景创业投资合伙企业（有限合伙）,8.26,易协云（杭州）科技有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,14.34,苏州高美云景创业投资合伙企业（有限合伙）,99.98,苏州工业园区高美云景一期创业投资合伙企业（有限合伙）
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,14.34,苏州高美云景创业投资合伙企业（有限合伙）,13.79,苏州远眸智能科技有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,14.34,苏州高美云景创业投资合伙企业（有限合伙）,5.58,苏州聚祥智能科技有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,14.34,苏州高美云景创业投资合伙企业（有限合伙）,7.78,大连筑建云建筑科技有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,14.34,苏州高美云景创业投资合伙企业（有限合伙）,7.44,四川智建云信息技术有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,14.34,苏州高美云景创业投资合伙企业（有限合伙）,7.78,珠海筑建云信息技术有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,14.34,苏州高美云景创业投资合伙企业（有限合伙）,10.27,语忆科技（广州）有限公司
苏州市科技创新创业投资有限公司,100,苏州市创客天使投资管理有限公司,14.34,苏州高美云景创业投资合伙企业（有限合伙）,13.33,苏州飞驰云联科技有限公司
